,_,Model,Corpus,Number of topics,Top Words,CV Score,C_UCI Score
19,0,Word2Vec,Compiled Data Challenges,2,"{0: 'think every different senior face difficult senior different couple challenging', 1: 'profile problem another greenwood example mental illness dementia cannot night', 2: ''}",0.359333239566729,-9.17193936491334
22,0,Word2Vec,Compiled Data Challenges,4,"{0: 'think every example cannot listening mean somehow know even maybe', 1: 'different profile difficult different challenging challenging activity beyond trained difficulty', 2: 'senior problem face senior another couple senior come turn away', 3: 'greenwood mental illness dementia depressed medically social worker contact family', 4: ''}",0.3651851118577384,-10.026568696796817
28,0,Word2Vec,Compiled Data Challenges,10,"{0: 'think every another away mean somehow maybe sense like guess', 1: 'different difficult different challenging challenging trained difficulty depends trained severe', 2: 'senior senior senior senior member senior member member member member', 3: 'profile activity social contact profile active activity uptrend experience statement', 4: 'problem night boundary case party late early case curve early', 5: 'face come turn give next escalate handle take detect find', 6: 'greenwood mental illness dementia depressed medically worker family family elderly', 7: 'couple example cannot beyond even either even certain mixture generally', 8: 'listening know mentioned mentioned learn learning aware concerned insist stunned', 9: 'mobile mobile mobile call call network alarm alarm wire wire', 10: ''}",0.44843457336987,-10.0602173762993
50,0,Word2Vec,Compiled Data Challenges,42,"{0: 'think think think think think think think think think think', 1: 'every another couple next late another rest hundred oldest one', 2: 'different different depends certain mixture extreme normal different different mixture', 3: 'senior senior senior senior senior senior senior senior senior senior', 4: 'profile profile profile profile profile alarm alarm alarm alarm alert', 5: 'problem difficulty problem constraint difficulty situation trouble problem difficulty burden', 6: 'face away escalate take take lost face remove wear take', 7: 'difficult challenging challenging active serious active active difficult demanding challenging', 8: 'greenwood malay coffeeshop coffeeshop friday chit kopi gossiping malay malay', 9: 'example case case case case case case case time scenario', 10: 'mental illness dementia depressed medically dementia depression dementia severe suffering', 11: 'come turn give find make bring become turn come make', 12: 'cannot need cannot cannot cannot cannot cannot cannot want prefer', 13: 'listening mentioned mentioned aware concerned watch stunned remember remember remember', 14: 'mean sense mean really quite always said something something really', 15: 'night incident race bracket vocal encounter side blast blast consolation', 16: 'boundary activity party elderly elderly activity group activity activity activity', 17: 'somehow even either even themself actually even though actually actually', 18: 'beyond early well early long younger early early slower slower', 19: 'trained member trained member member member member working operate trained', 20: 'social uptrend network system system privacy technology demand demand social', 21: 'worker family family family family family passer female maid young', 22: 'contact statement call call meetup contact call visit call calling', 23: 'know know know know know knew know know know know', 24: 'maybe guess maybe probably seems guess probably probably maybe maybe', 25: 'handle detect learn detect handle explain understand explain understand obey', 26: 'like like funny lucky like friendly like fit fit fit', 27: 'generally sometimes usually tend people sometimes sometimes sometimes people people', 28: 'experience learning rapport relationship program relationship rapport program background zumba', 29: 'willed came came paced passed transferring getting follows went came', 30: 'able able bound called able bound used managed called entitled', 31: 'curve sort kind kind right kind kind kind right nobody', 32: 'recommendation insist agree persuade agreed choose admit claim admitted accept', 33: 'register letter information information information register register share share share', 34: 'yesterday yesterday yesterday today year already year initial still still', 35: 'stressful forgetful reliant reliant manageable familiar distancing functional chore simple', 36: 'extent answer extent matter matter whether timing exactly exactly question', 37: 'mobile mobile mobile number number phone number number number handphone', 38: 'wheelchair wheelchair mask wheelchair walking wheelchair wheelchair wire toilet wire', 39: 'thing stuff reason piece thing thing stuff thing thing thing', 40: 'monday pas dialect english language tongue english mandarin language language', 41: 'reversible click link format format button zoom zoom zoom zoom', 42: ''}",0.5075133524169166,-10.096902005487715
55,0,Word2Vec,Compiled Data Challenges,46,"{0: 'think mean sense mentioned guess mentioned find mean insist watch', 1: 'every every wherever regularly daily daily every entire extra every', 2: 'different different couple certain extreme well different different different number', 3: 'senior senior senior senior senior senior senior senior senior senior', 4: 'profile profile profile profile profile network studio studio profile dynamic', 5: 'problem case case case case incident case case case problem', 6: 'face difficulty severe bracket face challenge difficulty challenge challenge challenge', 7: 'difficult stressful difficult manageable difficult impossible difficult chore difficult difficult', 8: 'another next late early early another early early oldest one', 9: 'greenwood woodland woodland woodland coffeeshop coffeeshop gossiping mandarin mandarin flower', 10: 'challenging challenging depressed concerned stunned serious lucky friendly demanding challenging', 11: 'example example link example example example example example model model', 12: 'mental illness dementia medically worker family family elderly elderly dementia', 13: 'come turn take bring came turn take come came bring', 14: 'cannot cannot cannot cannot cannot cannot cannot cannot cannot cannot', 15: 'away boundary beyond curve rest right bottom nearby block right', 16: 'give make become register make accompany build remove make make', 17: 'listening escalate handle detect detect aware handle explain understand agree', 18: 'night yesterday yesterday yesterday today year year period time time', 19: 'somehow actually extent actually actually actually actually fact actually actually', 20: 'activity activity activity activity activity activity working operate program working', 21: 'trained trained experience learn learning trained educated educated dialect background', 22: 'social member active member member member member group active active', 23: 'contact call called call called contact phone call visit call', 24: 'know know know know know knew know know know know', 25: 'even maybe maybe either probably even long slower slower probably', 26: 'party ministry office chit stolen stole stolen poker accountant personal', 27: 'like like seems funny sort really kind quite like always', 28: 'depends normal range plus plus reliant reliant expectation expectation average', 29: 'mixture mixture transferring unit demand demand marketing category duplication logistics', 30: 'generally sometimes usually tend sometimes sometimes sometimes sometimes sometimes sometimes', 31: 'uptrend suffering lost hundred spent almost almost decline decline decline', 32: 'willed able able bound able bound used managed supposed unable', 33: 'need want prefer prefer help choose need want need want', 34: 'recommendation statement consideration interest letter information information information notice consideration', 35: 'themself malay monday friday themself pas kopi english english malay', 36: 'race place blast blast session session session session break breaking', 37: 'mobile mobile mobile handphone smartphone handphone handphone smartphones handphone telecom', 38: 'paced equipped reserved reserved reserved reserved reserved visiting chatting seated', 39: 'people people people people people people pandemic people people people', 40: 'space large size significant virtual biggest virtual small bigger bigger', 41: 'thing piece thing thing thing thing thing thing thing thing', 42: 'mask shouted wire room toilet kitchen wire ring ring ring', 43: 'sure sure sure correct wrong false sure claim sure catch', 44: 'alarm system alarm system alarm alarm alert alarm alarm alert', 45: 'entitled required whereby must must unless must must must must', 46: ''}",0.4827559058433596,-10.143835465556258
44,0,Word2Vec,Compiled Data Challenges,38,"{0: 'think mean know guess mean insist watch remember really remember', 1: 'every activity activity activity activity activity activity every basically basically', 2: 'different different active well serious active active different different friendly', 3: 'senior senior senior senior member senior member member member member', 4: 'profile profile able prefer prefer profile profile lucky profile able', 5: 'problem example case sense seems case sort case case case', 6: 'face come turn give take bring turn take come bring', 7: 'difficult difficulty depends need stressful difficult difficulty reliant reliant need', 8: 'another next late another hundred oldest one one first plus', 9: 'greenwood worker family family family family family passer caregiver maid', 10: 'couple mixture generally sometimes usually tend mixture sometimes sometimes especially', 11: 'challenging challenging handle handle wheelchair wheelchair challenging challenging wheelchair wheelchair', 12: 'mental illness dementia depressed medically elderly elderly dementia depression dementia', 13: 'cannot cannot cannot cannot cannot cannot cannot cannot entitled pas', 14: 'away beyond rest bottom nearby front around around floor ground', 15: 'listening mentioned mentioned aware concerned stunned statement said called called', 16: 'night yesterday yesterday yesterday today race year year period time', 17: 'boundary uptrend extreme normal range constraint large initial size significant', 18: 'somehow either certain always right mask right nobody everything somebody', 19: 'trained trained learn learning trained educated educated dialect zumba workshop', 20: 'social experience rapport relationship interest relationship rapport staff staff staff', 21: 'contact mobile mobile mobile call coffeeshop coffeeshop call network alarm', 22: 'even maybe maybe probably even themself actually malay probably probably', 23: 'escalate severe suffering lost remove block lift lift injured claim', 24: 'party group bracket lobby unit group group group group group', 25: 'like like like like like like like like like like', 26: 'early early long extent early early quite though though already', 27: 'detect find detect find find find find find find find', 28: 'willed came came demanding passed bound transferring bound walking getting', 29: 'funny defiant shouted stuff vocal waving stuff noisy bombastic guy', 30: 'curve slower slower paced wire wire clock clock quickly fast', 31: 'make become make build make make make help make persuade', 32: 'recommendation incident space visit program area area program office center', 33: 'register recall hear explain hear explain tell obey meetup answer', 34: 'thing thing thing thing thing thing thing thing thing thing', 35: 'challenge consideration challenge challenge challenge challenge challenge challenge challenge challenge', 36: 'alert letterbox alert click link format format subtitle button zoom', 37: 'demand demand ministry chit marketing stolen public stolen poker share', 38: ''}",0.488292818865044,-10.293843035394836
50,0,Word2Vec,Compiled Data Challenges,42,"{0: 'think think think think think think think think think think', 1: 'every another couple next late another rest hundred oldest one', 2: 'different different depends certain mixture extreme normal different different mixture', 3: 'senior senior senior senior senior senior senior senior senior senior', 4: 'profile profile profile profile profile alarm alarm alarm alarm alert', 5: 'problem difficulty problem constraint difficulty situation trouble problem difficulty burden', 6: 'face away escalate take take lost face remove wear take', 7: 'difficult challenging challenging active serious active active difficult demanding challenging', 8: 'greenwood malay coffeeshop coffeeshop friday chit kopi gossiping malay malay', 9: 'example case case case case case case case time scenario', 10: 'mental illness dementia depressed medically dementia depression dementia severe suffering', 11: 'come turn give find make bring become turn come make', 12: 'cannot need cannot cannot cannot cannot cannot cannot want prefer', 13: 'listening mentioned mentioned aware concerned watch stunned remember remember remember', 14: 'mean sense mean really quite always said something something really', 15: 'night incident race bracket vocal encounter side blast blast consolation', 16: 'boundary activity party elderly elderly activity group activity activity activity', 17: 'somehow even either even themself actually even though actually actually', 18: 'beyond early well early long younger early early slower slower', 19: 'trained member trained member member member member working operate trained', 20: 'social uptrend network system system privacy technology demand demand social', 21: 'worker family family family family family passer female maid young', 22: 'contact statement call call meetup contact call visit call calling', 23: 'know know know know know knew know know know know', 24: 'maybe guess maybe probably seems guess probably probably maybe maybe', 25: 'handle detect learn detect handle explain understand explain understand obey', 26: 'like like funny lucky like friendly like fit fit fit', 27: 'generally sometimes usually tend people sometimes sometimes sometimes people people', 28: 'experience learning rapport relationship program relationship rapport program background zumba', 29: 'willed came came paced passed transferring getting follows went came', 30: 'able able bound called able bound used managed called entitled', 31: 'curve sort kind kind right kind kind kind right nobody', 32: 'recommendation insist agree persuade agreed choose admit claim admitted accept', 33: 'register letter information information information register register share share share', 34: 'yesterday yesterday yesterday today year already year initial still still', 35: 'stressful forgetful reliant reliant manageable familiar distancing functional chore simple', 36: 'extent answer extent matter matter whether timing exactly exactly question', 37: 'mobile mobile mobile number number phone number number number handphone', 38: 'wheelchair wheelchair mask wheelchair walking wheelchair wheelchair wire toilet wire', 39: 'thing stuff reason piece thing thing stuff thing thing thing', 40: 'monday pas dialect english language tongue english mandarin language language', 41: 'reversible click link format format button zoom zoom zoom zoom', 42: ''}",0.5075133524169166,-10.096902005487715
54,0,Word2Vec,Compiled Data Challenges,44,"{0: 'think mean maybe guess maybe probably seems funny mean sort', 1: 'every away rest always everything every basically basically wherever whole', 2: 'different different well normal slower slower different different friendly nicely', 3: 'senior senior senior senior senior senior senior senior senior senior', 4: 'profile activity profile active activity group active activity active activity', 5: 'problem case case recommendation case case incident case serious extent', 6: 'face come turn give escalate handle take bring turn take', 7: 'difficult challenging challenging difficulty severe stressful difficult challenging challenge challenging', 8: 'another beyond mentioned either certain mentioned extreme another one one', 9: 'greenwood woodland woodland woodland coffeeshop coffeeshop toilet kitchen toilet letterbox', 10: 'couple night yesterday yesterday yesterday today hundred year year monday', 11: 'example curve consideration look example example consider change move move', 12: 'mental illness dementia medically social family family elderly elderly dementia', 13: 'depressed listening forgetful defiant walking shouted alone alone alone walk', 14: 'cannot cannot cannot cannot cannot cannot cannot cannot meaning cannot', 15: 'boundary nearby front unit ground injured area ministry area center', 16: 'somehow even even much even though much little though something', 17: 'trained trained experience learning trained educated educated background zumba attending', 18: 'worker member party member themself member member member passer female', 19: 'contact register rapport relationship communicate meetup contact visit engage relationship', 20: 'next able lucky able right bound able bound getting going', 21: 'know learn aware remember remember remember know recall know hear', 22: 'sense suffering concerned expectation expectation complained comfort feel concerned concern', 23: 'like like like like like like like like like like', 24: 'late early early long race early early period time first', 25: 'depends need demanding reliant reliant demanding need need correct need', 26: 'mixture generally sometimes usually tend mixture sometimes sometimes especially number', 27: 'uptrend mobile mobile mobile mask mask mask handphone button zoom', 28: 'detect find detect find find persuade find find reach reach', 29: 'willed came stunned lost came paced passed went came waited', 30: 'make become make make make follows make make make make', 31: 'insist want prefer prefer agree agreed choose reluctant want want', 32: 'watch house live live live house studio apartment studio apartment', 33: 'statement call called call called alarm alarm ring lobby alarm', 34: 'malay pas dialect english language tongue english mandarin malay language', 35: 'bracket range bottom hand average point least single target count', 36: 'people people people people people people people people people people', 37: 'space network privacy virtual virtual duplication virtual packing packing packing', 38: 'transferring remove obey used block operate used allowed used used', 39: 'system equipped system wire wire size dynamic technology functional marketing', 40: 'entitled reserved reserved reserved reserved reserved affected seated category limited', 41: 'lift help lift help manage outreaching outreach outreach outreach outreach', 42: 'interest chit interest poker interest interest interest worth market price', 43: 'information information information video click please video peer worksheet printed', 44: ''}",0.5116512893321482,-10.161913721500063
59,0,Word2Vec,Compiled Data Challenges,48,"{0: 'think guess guess agree think think think think think think', 1: 'every another another another every another single another biggest another', 2: 'different profile different challenging challenging profile stressful serious profile different', 3: 'senior senior senior senior senior senior senior senior senior senior', 4: 'problem example case case case case incident case race case', 5: 'face come turn take bring came turn take come came', 6: 'difficult able difficult able right bound able bound used going', 7: 'greenwood malay pas chit kopi dialect english language tongue english', 8: 'couple group hundred year oldest one year one plus plus', 9: 'mental illness dementia medically dementia depression dementia dementia dementia patient', 10: 'depressed funny stunned forgetful lucky defiant lucky lonely happy excited', 11: 'cannot cannot cannot cannot cannot cannot cannot cannot whereby cannot', 12: 'away boundary beyond rest bottom nearby block room ring ring', 13: 'give accompany transferring build remove wear carry lift operate lift', 14: 'listening mentioned mentioned watch remember remember remember recall hear hear', 15: 'mean maybe sense maybe probably seems mean really probably probably', 16: 'night late early early yesterday yesterday yesterday today early early', 17: 'somehow either actually extent quite though actually actually though mask', 18: 'activity active activity uptrend active activity active activity activity activity', 19: 'trained trained find learn learning find find trained find find', 20: 'social worker passer female caregiver maid caregiver lady lady toilet', 21: 'contact statement call call meetup lobby contact call answer visit', 22: 'family family party family family family house friend house studio', 23: 'member member member member member member mandarin mandarin retired head', 24: 'next bracket paced first initial next half first first second', 25: 'difficulty long lost difficulty stay still still staying staying stay', 26: 'know depends insist know know know know sure sure knew', 27: 'even even generally sometimes usually tend much even much sometimes', 28: 'escalate handle detect detect aware handle explain understand explain understand', 29: 'like certain like well normal like friendly like nicely fit', 30: 'elderly elderly younger woodland woodland people woodland wheelchair wheelchair young', 31: 'mixture extreme sort kind mixture kind little kind kind kind', 32: 'experience rapport relationship expectation expectation interest relationship rapport outreach outreach', 33: 'willed become passed called follows called agreed brushed admitted recorded', 34: 'severe suffering concerned alarm alarm alarm alarm alert alarm trouble', 35: 'curve range large size manageable average downside quickly limited target', 36: 'need want prefer prefer entitled help need want need want', 37: 'make make make make make make make make make make', 38: 'recommendation challenge consideration challenge challenge place challenge challenge challenge part', 39: 'themself something something nobody somebody themself something wrong something something', 40: 'register register register virtual click link virtual virtual button zoom', 41: 'mobile mobile mobile coffeeshop coffeeshop phone video handphone video camera', 42: 'slower slower reliant reliant mainly rather distancing decline basis decline', 43: 'always everything wherever everything hand together way always everything clock', 44: 'space network system system unit program area technology demand demand', 45: 'thing stuff piece thing thing stuff thing thing thing thing', 46: 'already already staff staff staff staff staff staff staff staff', 47: ''}",0.5068298691688858,-10.261123560770718
61,0,Word2Vec,Compiled Data Challenges,50,"{0: 'think listening mentioned mentioned find watch remember remember remember find', 1: 'every funny sort really kind always kind right kind kind', 2: 'different different depends well normal slower slower different different different', 3: 'senior senior senior senior senior senior senior senior senior senior', 4: 'profile activity member profile active activity member member member member', 5: 'problem example problem thing something something scenario situation reason matter', 6: 'face difficulty constraint face challenge difficulty challenge challenge challenge challenge', 7: 'difficult challenging challenging stressful difficult challenging challenging challenging manageable challenging', 8: 'another another hundred bottom another significant another point least another', 9: 'greenwood woodland woodland woodland gossiping flower plant flower plant fruit', 10: 'couple oldest one one first plus plus one one one', 11: 'mental illness depression willed extreme severe suffering serious injured condition', 12: 'dementia medically elderly elderly dementia dementia dementia forgetful dementia caregiver', 13: 'depressed uptrend range demand demand pandemic distancing decline basis decline', 14: 'come turn take turn take come come take take carry', 15: 'cannot need cannot cannot cannot cannot cannot cannot want prefer', 16: 'away curve nicely ground apart quickly fast fast nicely towards', 17: 'give make bring become register make bring accompany build remove', 18: 'mean beyond even maybe like maybe probably even like seems', 19: 'night race year year period time place time time period', 20: 'boundary bracket wire wire front side link travelator travelator handrail', 21: 'somehow themself actually extent actually actually actually actually fact actually', 22: 'trained trained experience younger female rapport young trained reserved reserved', 23: 'social family family party family family family staff staff staff', 24: 'worker passer maid lady lady vocal bombastic dance sing head', 25: 'contact statement call call alarm alarm ring alarm ring alarm', 26: 'next late early early yesterday yesterday yesterday today early early', 27: 'know guess know know guess know know sure sure knew', 28: 'escalate handle detect detect handle obey communicate equipped operate engage', 29: 'case case case case incident case case case correct wrong', 30: 'sense recommendation consideration expectation expectation interest status comfort choice concern', 31: 'either alone alone alone nobody alone alone hand alone nothing', 32: 'certain long large number number mainly around around size individual', 33: 'mixture mixture mask wear lift lift mask wearing mask drinking', 34: 'generally sometimes usually tend sometimes sometimes especially sometimes sometimes sometimes', 35: 'able able able used managed help unable trying agreed help', 36: 'learn learning zumba reading teach teach learn teaching learn teach', 37: 'aware concerned stunned lucky friendly defiant fit fit fit lucky', 38: 'insist said called shouted called said complained complain complain complain', 39: 'came came paced passed transferring follows went came waited visiting', 40: 'lost spent manpower consolation taxing lost extra stolen stole stolen', 41: 'malay pas kopi dialect english language tongue english mandarin malay', 42: 'mobile mobile mobile zoom zoom zoom zoom smartphone smartphones telecom', 43: 'people people people people people people people people people people', 44: 'space network system system privacy technology information information information functional', 45: 'relationship friend relationship partner friend friend friend partner friend friend', 46: 'coffeeshop coffeeshop nearby house house studio apartment block studio apartment', 47: 'meetup friday video virtual video virtual virtual poker video page', 48: 'dynamic pressing reversible click simple convenient convenient unique button simple', 49: 'program program format format planning program program program event focus', 50: ''}",0.5120309120820845,-10.161705853383785
